brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Χρηματοδότηση,Κατηγορία,Χρονολογία,Καύσιμο,Kilowatt,Αυτονομίαμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Ίπποι,Σασμάν,Χρώμα,Επένδυσησαλονιού,Πινακίδα,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Κατάσταση,Χιλιόμετρα,Κυβικά,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Σύνολοκατόχων,Κτέομέχρι,Χρώμαεσωτερικού,Ρύποι(co2),Κλάσηρύπων,Κίνηση,Παράδοσηστοσπίτι
Ford,Focus,2020,Ford Focus '20  1.5 ST-Line X,FordFocus1.5ST-LineXAutomatic'20,333002061,24.900€,,Κόμπι/Kάραβαν,4/2020,Βενζίνη,,,,,188bhp,Αυτόματο,Μπορντό(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,13ώρεςπριν,3316,www.car.gr/333002061,"6946994457,2310631122,6946994457","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",Μεταχειρισμένο,119.000χλμ,1.500cc,18ίντσες,,,1,,Μαύρο,,,,
Opel,Astra,2007,Opel Astra '07 OPC ΓΝΗΣΙΟ,OpelAstraOPCΓΝΗΣΙΟ'07,325037661,10.000€,,Κόμπακτ/Hatchback,7/2007,Βενζίνη,,,,,240bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Δέρμα-ύφασμα,Ζυγό,6,3,5,13ώρεςπριν,12661,www.car.gr/325037661,"6946994457,2310631122,6946994457","['Abs', 'Bucket καθίσματα', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Turbo', 'Αερανάρτηση', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Μπλοκέ διαφορικό', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,145.000χλμ,1.997cc,19ίντσες,,"10(Εντός)/9,20(Μικτό)λ/100χλμ",1,1/2023,Μαύρο,,,,
Mercedes-Benz,E200,2004,Mercedes-Benz E 200 '04 E 200 CLASSIC,"Mercedes-BenzE200E200CLASSICΑυτόματο,Αέριο'04",36149511,10.000€,,Λιμουζίνα/Sedan,1/2004,Αέριο(lpg)-βενζίνη,,,,,160bhp,Αυτόματο,Μαύρο,Δέρμα,Ζυγό,,4,5,1ημέραπριν,1556,www.car.gr/36149511,6945109995,"['Abs', 'Cd player', 'Cruise control', 'Esp', 'Immobilizer', 'Parktronic', 'Tcs - asr', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι']",Μεταχειρισμένο,162.000χλμ,1.800cc,,,,,,Γκρι,,,,
Opel,Corsa,2012,Opel Corsa '12 EDITION DIESEL CLIMA-START STOP,OpelCorsaEDITIONDIESELCLIMA-STARTSTOPΕΛΛΗΝΙΚΟ!!!'12,333378198,7.700€,,Κόμπακτ/Hatchback,1/2012,Πετρέλαιο,,,,,95bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Δέρμα-ύφασμα,Ζυγό,8,5,5,1ημέραπριν,16,www.car.gr/333378198,6973277368,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,175.000χλμ,1.248cc,15ίντσες,85€,,,,,,,,
Seat,Leon,2017,Seat Leon '17 1.0 TSI Style Business - Αυτόματο - 116,SeatLeon1.0TSIStyleBusiness-Αυτόματο-116hp'17,331265790,14.850€,"391,67€/μήνα",Κόμπι/Kάραβαν,10/2017,Βενζίνη,,,,,116bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δέρμα-ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,2928,www.car.gr/331265790,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,211χλμ,1.000cc,17ίντσες,0€,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,1,4/2024,Γκρι,125g/km,Euro6,Προσθιοκίνητο(FWD),Ναι
Ford,Focus,2018,Ford Focus '18 1.5 TDCI Business - Ντίζελ - Αυτόματο - 120,FordFocus1.5TDCIBusiness-Ντίζελ-Αυτόματο-120hp'18,331265592,13.680€,"360,81€/μήνα",Κόμπι/Kάραβαν,10/2018,Πετρέλαιο,,,,,120bhp,Αυτόματο,Γκρι(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,1451,www.car.gr/331265592,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,158.000χλμ,1.500cc,16ίντσες,0€,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,1,4/2024,Γκρι,99g/km,Euro6,Προσθιοκίνητο(FWD),Ναι
Toyota,Yaris,2017,Toyota Yaris '17 1.5L HYBRID,ToyotaYaris1.5LHYBRIDNAVI'17,323246257,15.499€,"408,78€/μήνα",Κόμπακτ/Hatchback,10/2017,Υβριδικόβενζίνη,,,,,105bhp,Αυτόματο,Ασημί(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,833,www.car.gr/323246257,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Εισαγωγής', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,169χλμ,1.500cc,15ίντσες,0€,"3,50(Εντός)/3,50(Εκτός)/3,50(Μικτό)λ/100χλμ",1,10/2022,Γκρι,95g/km,Euro6,Προσθιοκίνητο(FWD),
Toyota,Yaris,2013,Toyota Yaris '13 Navi 1.5l,ToyotaYarisNavi1.5lHybrid'13,322426798,12.499€,"329,66€/μήνα",Κόμπακτ/Hatchback,10/2013,Υβριδικόβενζίνη,,,,,105bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ύφασμα,Άγνωστο,8,5,5,6ώρεςπριν,1190,www.car.gr/322426798,"6949255100,6949255100","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,160.000χλμ,1.500cc,16ίντσες,0€,4(Εντός)/4(Εκτός)/4(Μικτό)λ/100χλμ,1,4/2024,Γκρι,98g/km,Euro6,Προσθιοκίνητο(FWD),Ναι
Volkswagen,Golf,2015,Volkswagen Golf,VolkswagenGolf'15,323549934,14.500€,,Κόμπακτ/Hatchback,1/2015,Πετρέλαιο,,,,,116bhp,Χειροκίνητο,Μπεζ(Μεταλλικό),Ύφασμα,Ζυγό,7,5,5,4ώρεςπριν,25,www.car.gr/323549934,"2170002658,6970151950","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Συναγερμός', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,115.000χλμ,1.600cc,16ίντσες,85€,,1,5/2023,Μπεζ,99g/km,Euro5,,
Toyota,Yaris,2015,Toyota Yaris '15 Hybrid ΟΛΟΚΑΙΝΟΥΡΙΟ Cvt,ToyotaYarisHybridΟΛΟΚΑΙΝΟΥΡΙΟCvt'15,334481958,13.300€,,Κόμπακτ/Hatchback,1/2015,Υβριδικόβενζίνη,,,,,100bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ύφασμα,Ζυγό,6,5,5,4ώρεςπριν,94,www.car.gr/334481958,"2170002658,6970151950","['Abs', 'Adaptive cruise control (acc)', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα xenon']",Μεταχειρισμένο,128.000χλμ,1.497cc,15ίντσες,0€,"3,50(Εντός)/4,50(Εκτός)/4(Μικτό)λ/100χλμ",1,6/2026,Δίχρωμο,76g/km,Euro6,,
Mazda,MX-5,2016,Mazda MX-5 '16,MazdaMX-5NC3'16,333447107,12.600€,,Κάμπριο/Roadster,1/2016,Βενζίνη,,,,,128bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Ύφασμα,Μονό,2,2,2,1ώραπριν,3840,www.car.gr/333447107,6944189490,"['{Abs', '{Bucket καθίσματα', '{Cd player', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Ατρακάριστο', '{Βιβλίο service', '{Ελληνικής αντιπροσωπείας', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Μη καπνιστή', '{Ράδιοκασετ\\u002Fνο', '{Υδραυλικό τιμόνι']",Μεταχειρισμένο,60.400χλμ,1.798cc,16ίντσες,409€,,1,1/2024,Μαύρο,167g/km,,,
Mini,Cooper,2009,Mini Cooper,MiniCooper'09,333889374,8.500€,,Κόμπακτ/Hatchback,8/2009,Πετρέλαιο,,,,,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δέρμα,Άγνωστο,4,3,5,1ώραπριν,1659,www.car.gr/333889374,6974289211,"['{Abs', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Esp', '{Hill assist', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι']",Μεταχειρισμένο,146.000χλμ,1.600cc,17ίντσες,,"3,90(Μικτό)λ/100χλμ",,1/2024,,,,Προσθιοκίνητο(FWD),
Toyota,C-HR,2017,Toyota C-HR '17 1.8 Hybrid •LED •ΔΕΡΜΑ,ToyotaC-HR1.8Hybrid•LED•ΔΕΡΜΑ•JBL'17,334343768,23.500€,"351,12€/μήνα",4χ4/Τζιπ/Suv,1/2017,Υβριδικόβενζίνη,,,,,122bhp,Αυτόματο,Ασημί(Μεταλλικό),Δέρμα,Άγνωστο,8,5,5,1ημέραπριν,253,www.car.gr/334343768,6985945400,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Head-up display', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Αυτόματο παρκάρισμα', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Μεταχειρισμένο,89.000χλμ,1.798cc,18ίντσες,0€,"5,50(Μικτό)λ/100χλμ",1,12/2023,Μαύρο,,Euro6d,Προσθιοκίνητο(FWD),
Renault,Megane,2004,Renault Megane '04 Πετρέλαιο,RenaultMeganeΠετρέλαιο'04,334431831,3.200€,,Λιμουζίνα/Sedan,1/2004,Πετρέλαιο,,,,,90bhp,Χειροκίνητο,Ασπρο,,Ζυγό,4,5,5,1ημέραπριν,110,www.car.gr/334431831,"6906503015,6977601874","['Abs', 'Cd player', 'Esp', 'Hardtop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Turbo', 'Αισθητήρας βροχής', 'Εισαγωγής', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,168.000χλμ,1.500cc,15ίντσες,,,,,,,,,
Toyota,Yaris,2018,Toyota Yaris '18 1.5 •Y20 •Bi Tone,ToyotaYaris1.5•Y20•BiTone•116Hp'18,332823871,14.990€,"223,97€/μήνα",Κόμπακτ/Hatchback,1/2018,Βενζίνη,,,,,116bhp,Χειροκίνητο,Κόκκινοσκούρο(Μεταλλικό),Ύφασμα,Άγνωστο,6,4,5,1ημέραπριν,1962,www.car.gr/332823871,6985945400,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα που στρίβουν']",Μεταχειρισμένο,55.600χλμ,1.500cc,17ίντσες,,,1,1/2025,Δίχρωμο,,Euro6d,,
Hyundai,i30,2018,Hyundai i 30 '18 1.4 active,Hyundaii301.4active100hp'18,334498385,15.500€,"299,01€/μήνα",Κόμπακτ/Hatchback,3/2018,Βενζίνη,,,,,100bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Μονό,,5,5,1ημέραπριν,18,www.car.gr/334498385,2311230030,[],Μεταχειρισμένο,94.809χλμ,1.400cc,,,,,,,,,,
Peugeot,307,2006,Peugeot 307,Peugeot307'06,334007181,3.300€,,Κόμπακτ/Hatchback,1/2006,Βενζίνη,,,,,95bhp,Χειροκίνητο,Μαύρο,,Μονό,,5,5,1ημέραπριν,1171,www.car.gr/334007181,6948886161,"['Abs', 'Cd player', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Ανταλλαγή με μοτο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",Μεταχειρισμένο,102.000χλμ,1.400cc,,,,1,1/2025,,,,,
Ford,Focus,2017,Ford Focus '17 Business + / ΤΕΛΗ ΚΥΚΛ. 0,FordFocusBusiness+/ΤΕΛΗΚΥΚΛ.0€!!!'17,334422955,12.999€,,Κόμπακτ/Hatchback,10/2017,Πετρέλαιο,,,,,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Ύφασμα,Ζυγό,8,5,5,5ώρεςπριν,202,www.car.gr/334422955,2310989447,"['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,150χλμ,1.500cc,17ίντσες,0€,"5,40(Μικτό)λ/100χλμ",1,9/2023,Γκρι,88g/km,Euro6d,Προσθιοκίνητο(FWD),
Volkswagen,Golf,2018,Volkswagen Golf '18 EDITION 30,VolkswagenGolfEDITION30DSG'18,329740803,22.000€,,Κόμπακτ/Hatchback,1/2018,Βενζίνη,,,,,110bhp,Αυτόματο,Ασπρο,Ύφασμα,Μονό,7,5,5,10ώρεςπριν,2759,www.car.gr/329740803,6977007005,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Σύστημα μη σύγκρουσης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,68.000χλμ,999cc,17ίντσες,110€,,2,,Μαύρο,109g/km,Euro5,,
Bmw,518,1991,Bmw 518,Bmw518'91,334074794,4.300€,,Λιμουζίνα/Sedan,6/1991,Βενζίνη,,,,,165bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),,Μονό,,4,5,5ώρεςπριν,689,www.car.gr/334074794,6955511959,"['Abs', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Προβολείς ομίχλης', 'Υδραυλικό τιμόνι', 'Φώτα led']",Μεταχειρισμένο,168.500χλμ,2.000cc,18ίντσες,,,,,,,,,
Mini,CooperD,2018,Mini Cooper D '18 ΑΒΑΦΟ άθικτο,MiniCooperDΑΒΑΦΟάθικτοΕΛΛΗΝΙΚΟ'18,328943203,17.580€,,Κόμπακτ/Hatchback,1/2018,Πετρέλαιο,,,,,116bhp,Αυτόματο,Πράσινοσκούρο(Μεταλλικό),Ύφασμα,Άγνωστο,,5,5,12ώρεςπριν,543,www.car.gr/328943203,"2104010421,6937510810","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",Μεταχειρισμένο,85.000χλμ,1.500cc,,,,,,Μαύρο,,Euro6,Προσθιοκίνητο(FWD),
